-4.0 10 0.5500093853199659
-4.0 12 0.6775253802528838
-4.0 14 0.7699326592796546
-4.0 16 0.8507406167377746
-4.0 19 0.9473928774949818
-4.0 22 1.0353657658236584
-4.0 26 1.135498344492335
-4.0 31 1.2549428313748123
-4.0 36 1.3527410370709656
-4.0 42 1.4624381866330476
-4.0 49 1.586224823122093
-4.0 58 1.7258983343063838
-4.0 68 1.8676346152393608
-4.0 80 2.0323780291893496
-4.0 94 2.1936069177909094
-4.0 110 2.3840607643169727
-4.0 129 2.5823041004482654
-4.0 151 2.80370382125691
-4.0 177 3.008786641953126
-4.0 208 3.2647463097009046
-4.0 244 3.561021408026401
-4.0 286 3.862545940472265
-4.0 335 4.243210192700254
-4.0 394 4.615073820947568
-4.0 462 5.041082778376307
-4.0 542 5.428570144385478
-4.0 635 5.920167232304424
-4.0 745 6.447649116510655
-4.0 874 7.040864042327093
-4.0 1026 7.674664031057969
-4.0 1203 8.455716540547083
-4.0 1412 9.452159852243541
-4.0 1656 10.604444598402038
-4.0 1943 12.54516959963784
-4.0 2279 15.132625775870446
-4.0 2674 18.369944534501958
-4.0 3137 29.863040400800244
-4.0 3680 40.926281297915274
-4.0 4317 58.400401216240624
-4.0 5064 102.8392545503619
-4.0 5941 182.8728649288066
-4.0 6969 280.0916015720422
-4.0 8176 449.65867080747955
-4.0 9591 739.3843351761375
-4.0 11252 1224.921342881498
-4.0 13199 1968.7675688307415
-4.0 15485 3193.514956893382
-4.0 18166 5232.190653130833
-4.0 21311 8620.40046709165
-4.0 25000 13301.413001580475

-3.8 10 0.561465697234039
-3.8 12 0.6859720943555765
-3.8 14 0.7773117888825322
-3.8 16 0.8571858549176896
-3.8 19 0.9536758126374633
-3.8 22 1.0417543514319516
-3.8 26 1.1420099381680533
-3.8 31 1.2615759395609505
-3.8 36 1.35975754793504
-3.8 42 1.4700018888231154
-3.8 49 1.5942045870728825
-3.8 58 1.7345103150097751
-3.8 68 1.8770245206001845
-3.8 80 2.04282022126045
-3.8 94 2.204249742321918
-3.8 110 2.395610470312532
-3.8 129 2.595591716741183
-3.8 151 2.8176825534318213
-3.8 177 3.024257496754928
-3.8 208 3.2829450296503384
-3.8 244 3.578742472222769
-3.8 286 3.8826248838210735
-3.8 335 4.26250422301147
-3.8 394 4.637009966040259
-3.8 462 5.06348487981494
